data,hora,ip,latencia_media
2025-12-14,08:17,138.97.220.65,3.367
2025-12-14,08:17,138.97.220.66,3.781
2025-12-14,08:17,138.97.220.69,5.200
2025-12-14,08:17,138.97.220.70,5.096
2025-12-14,08:17,8.8.8.8,12.805
2025-12-14,08:17,1.1.1.1,12.230
2025-12-14,08:20,138.97.220.58,5.359
2025-12-14,08:20,138.97.220.62,4.572
2025-12-14,08:20,138.97.220.57,4.458
2025-12-14,08:20,138.97.220.60,5.027
2025-12-14,08:20,138.97.220.65,5.094
2025-12-14,08:20,138.97.220.66,4.943
2025-12-14,08:20,138.97.220.69,4.643
2025-12-14,08:20,138.97.220.70,4.440
2025-12-14,08:20,8.8.8.8,7.689
2025-12-14,08:20,1.1.1.1,7.792
2025-12-14,08:22,138.97.220.58,4.603
2025-12-14,08:22,138.97.220.62,4.820
2025-12-14,08:22,138.97.220.57,5.705
2025-12-14,08:22,138.97.220.60,4.050
2025-12-14,08:22,138.97.220.65,4.843
2025-12-14,08:22,138.97.220.66,4.718
2025-12-14,08:22,138.97.220.69,4.341
2025-12-14,08:22,138.97.220.70,4.561
2025-12-14,08:22,8.8.8.8,6.410
2025-12-14,08:22,1.1.1.1,6.465
2025-12-14,08:24,138.97.220.58,6.515
2025-12-14,08:24,138.97.220.62,4.168
2025-12-14,08:24,138.97.220.57,4.558
2025-12-14,08:24,138.97.220.60,4.396
2025-12-14,08:24,138.97.220.65,4.048
2025-12-14,08:24,138.97.220.66,5.014
2025-12-14,08:24,138.97.220.69,4.276
2025-12-14,08:24,138.97.220.70,4.545
2025-12-14,08:24,8.8.8.8,7.731
2025-12-14,08:24,1.1.1.1,7.259
2025-12-14,08:25,138.97.220.58,4.134
2025-12-14,08:25,138.97.220.62,5.617
2025-12-14,08:25,138.97.220.57,5.531
2025-12-14,08:25,138.97.220.60,4.925
2025-12-14,08:25,138.97.220.65,3.830
2025-12-14,08:25,138.97.220.66,4.080
2025-12-14,08:25,138.97.220.69,4.571
2025-12-14,08:25,138.97.220.70,4.945
2025-12-14,08:25,8.8.8.8,7.004
2025-12-14,08:25,1.1.1.1,7.129
2025-12-14,08:27,138.97.220.58,3.725
2025-12-14,08:27,138.97.220.62,4.107
2025-12-14,08:27,138.97.220.57,3.260
2025-12-14,08:27,138.97.220.60,4.264
2025-12-14,08:27,138.97.220.65,4.598
2025-12-14,08:27,138.97.220.66,4.700
2025-12-14,08:27,138.97.220.69,4.275
2025-12-14,08:27,138.97.220.70,5.044
2025-12-14,08:27,8.8.8.8,7.702
2025-12-14,08:27,1.1.1.1,9.691
2025-12-14,08:29,138.97.220.58,3.764
2025-12-14,08:29,138.97.220.62,3.630
2025-12-14,08:29,138.97.220.57,4.068
2025-12-14,08:29,138.97.220.60,5.665
2025-12-14,08:29,138.97.220.65,4.956
2025-12-14,08:29,138.97.220.66,5.057
2025-12-14,08:29,138.97.220.69,4.151
2025-12-14,08:29,138.97.220.70,3.782
2025-12-14,08:29,8.8.8.8,7.034
2025-12-14,08:29,1.1.1.1,21.248
2025-12-14,08:30,138.97.220.58,4.515
2025-12-14,08:30,138.97.220.62,4.175
2025-12-14,08:30,138.97.220.57,4.248
2025-12-14,08:30,138.97.220.60,3.757
2025-12-14,08:30,138.97.220.65,3.882
2025-12-14,08:30,138.97.220.66,7.847
2025-12-14,08:30,138.97.220.69,4.751
2025-12-14,08:30,138.97.220.70,4.731
2025-12-14,08:30,8.8.8.8,7.995
2025-12-14,08:30,1.1.1.1,7.290
2025-12-14,08:32,138.97.220.58,5.195
2025-12-14,08:32,138.97.220.62,4.697
2025-12-14,08:32,138.97.220.57,3.286
2025-12-14,08:32,138.97.220.60,6.356
2025-12-14,08:32,138.97.220.65,3.581
2025-12-14,08:32,138.97.220.66,5.138
2025-12-14,08:32,138.97.220.69,4.477
2025-12-14,08:32,138.97.220.70,4.519
2025-12-14,08:32,8.8.8.8,7.059
2025-12-14,08:32,1.1.1.1,6.805
2025-12-14,08:34,138.97.220.58,4.147
2025-12-14,08:34,138.97.220.62,4.168
2025-12-14,08:34,138.97.220.57,4.299
2025-12-14,08:34,138.97.220.60,4.060
2025-12-14,08:34,138.97.220.65,4.426
2025-12-14,08:34,138.97.220.66,3.943
2025-12-14,08:34,138.97.220.69,4.109
2025-12-14,08:34,138.97.220.70,4.687
2025-12-14,08:34,8.8.8.8,7.048
2025-12-14,08:34,1.1.1.1,8.723
2025-12-14,08:35,138.97.220.58,5.774
2025-12-14,08:35,138.97.220.62,4.581
2025-12-14,08:35,138.97.220.57,4.771
2025-12-14,08:35,138.97.220.60,4.967
2025-12-14,08:35,138.97.220.65,4.620
2025-12-14,08:35,138.97.220.66,5.217
2025-12-14,08:35,138.97.220.69,4.807
2025-12-14,08:35,138.97.220.70,4.773
2025-12-14,08:35,8.8.8.8,7.365
2025-12-14,08:35,1.1.1.1,11.252
2025-12-14,08:37,138.97.220.58,4.813
2025-12-14,08:37,138.97.220.62,4.029
2025-12-14,08:37,138.97.220.57,4.215
2025-12-14,08:37,138.97.220.60,4.889
2025-12-14,08:37,138.97.220.65,4.834
2025-12-14,08:37,138.97.220.66,4.910
2025-12-14,08:37,138.97.220.69,4.094
2025-12-14,08:37,138.97.220.70,4.060
2025-12-14,08:37,8.8.8.8,7.231
2025-12-14,08:37,1.1.1.1,7.421
2025-12-14,08:39,138.97.220.58,4.094
2025-12-14,08:39,138.97.220.62,4.532
2025-12-14,08:39,138.97.220.57,4.904
2025-12-14,08:39,138.97.220.60,7.904
2025-12-14,08:39,138.97.220.65,4.338
2025-12-14,08:39,138.97.220.66,4.873
2025-12-14,08:39,138.97.220.69,4.088
2025-12-14,08:39,138.97.220.70,4.933
2025-12-14,08:39,8.8.8.8,8.015
2025-12-14,08:39,1.1.1.1,6.003
2025-12-14,08:40,138.97.220.58,6.445
2025-12-14,08:40,138.97.220.62,7.428
2025-12-14,08:40,138.97.220.57,4.617
2025-12-14,08:40,138.97.220.60,5.617
2025-12-14,08:40,138.97.220.65,4.390
2025-12-14,08:40,138.97.220.66,4.755
2025-12-14,08:40,138.97.220.69,4.495
2025-12-14,08:40,138.97.220.70,5.426
2025-12-14,08:40,8.8.8.8,7.259
2025-12-14,08:40,1.1.1.1,7.229
2025-12-14,08:42,138.97.220.58,4.214
2025-12-14,08:42,138.97.220.62,4.335
2025-12-14,08:42,138.97.220.57,3.470
2025-12-14,08:42,138.97.220.60,4.709
2025-12-14,08:42,138.97.220.65,3.427
2025-12-14,08:42,138.97.220.66,4.361
2025-12-14,08:42,138.97.220.69,4.430
2025-12-14,08:42,138.97.220.70,6.055
2025-12-14,08:42,8.8.8.8,6.729
2025-12-14,08:42,1.1.1.1,7.349
2025-12-14,08:44,138.97.220.58,4.326
2025-12-14,08:44,138.97.220.62,5.754
2025-12-14,08:44,138.97.220.57,4.731
2025-12-14,08:44,138.97.220.60,4.665
2025-12-14,08:44,138.97.220.65,4.902
2025-12-14,08:44,138.97.220.66,4.602
2025-12-14,08:44,138.97.220.69,4.579
2025-12-14,08:44,138.97.220.70,4.750
2025-12-14,08:44,8.8.8.8,7.668
2025-12-14,08:44,1.1.1.1,8.274
2025-12-14,08:45,138.97.220.58,5.712
2025-12-14,08:45,138.97.220.62,4.386
